as_of_session,broker_execution_enabled,entry_price,entry_session,exit_price,exit_reason,exit_session,final_decision,hit_10pct,hit_15pct,hit_5pct,mae_pct,market_data_source,market_regime_state,mfe_pct,observed_at_utc,production_applied,r_multiple,reference_close,return_1d_pct,return_3d_pct,return_5d_pct,return_7d_pct,sessions_held,shadow_status,signal_id,status,stop_price,strategy,strategy_score,target_price,theme,theme_state,ticker,vote_count
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,42.02,,,,,0,SHADOW_ONLY,2026-09-18|REGIME_ENSEMBLE|HRMY,PENDING_ENTRY,40.97,REGIME_ENSEMBLE,90.93613333333333,45.3816,UNCLASSIFIED,NONE,HRMY,3.0
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,50.75,,,,,0,SHADOW_ONLY,2026-09-18|REGIME_ENSEMBLE|HTFL,PENDING_ENTRY,48.87,REGIME_ENSEMBLE,91.03465,54.81,UNCLASSIFIED,NONE,HTFL,2.0
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,222.27,,,,,0,SHADOW_ONLY,2026-09-18|REGIME_ENSEMBLE|NVDA,PENDING_ENTRY,217.8246,REGIME_ENSEMBLE,81.67005,240.0516,Semiconductors,STRONG,NVDA,2.0
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,177.72,,,,,0,SHADOW_ONLY,2026-09-18|REGIME_ENSEMBLE|QCOM,PENDING_ENTRY,171.0022,REGIME_ENSEMBLE,94.50946666666665,191.9376,Semiconductors,STRONG,QCOM,3.0
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,88.76,,,,,0,SHADOW_ONLY,2026-09-18|REGIME_ENSEMBLE|SWKS,PENDING_ENTRY,87.19,REGIME_ENSEMBLE,87.24889999999999,95.8608,UNCLASSIFIED,NONE,SWKS,2.0
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,95.19,,,,,0,SHADOW_ONLY,2026-09-18|REGIME_ENSEMBLE|UNM,PENDING_ENTRY,93.19,REGIME_ENSEMBLE,92.01169999999999,102.8052,UNCLASSIFIED,NONE,UNM,2.0
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,47.56,,,,,0,SHADOW_ONLY,2026-09-18|REGIME_ENSEMBLE|VRNS,PENDING_ENTRY,45.64,REGIME_ENSEMBLE,93.08539999999999,51.3648,Cybersecurity,LEADING,VRNS,2.0
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,559.82,,,,,0,SHADOW_ONLY,2026-09-18|RESIDUAL_SECTOR_STRENGTH|AMD,PENDING_ENTRY,543.0674,RESIDUAL_SECTOR_STRENGTH,83.6818,604.6056,Semiconductors,STRONG,AMD,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,265.63,,,,,0,SHADOW_ONLY,2026-09-18|RESIDUAL_SECTOR_STRENGTH|BE,PENDING_ENTRY,255.0048,RESIDUAL_SECTOR_STRENGTH,77.2107,286.8804,UNCLASSIFIED,NONE,BE,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,78.12,,,,,0,SHADOW_ONLY,2026-09-18|RESIDUAL_SECTOR_STRENGTH|DK,PENDING_ENTRY,77.41,RESIDUAL_SECTOR_STRENGTH,75.685,84.3696,UNCLASSIFIED,NONE,DK,
