ticker,gate_price,avg_share_volume20,avg_dollar_volume20,median_dollar_volume20,adr20_pct,ret20_pct,max_up_day_30d_pct_gate,tradable,rejection_reason,company_name_gate,exchange,price,stage,technical_stage,pattern,formation_score,technical_score,risk_score,decision,market_regime_state,market_regime_score,market_regime_reason,rs20_vs_spy,rsi14,rvol,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,atr_pct,avg_dollar_volume,ema20,ema50,ema200,daily_support,daily_resistance,weekly_support,weekly_resistance,monthly_support,monthly_resistance,entry_trigger,entry_model,entry_condition,entry_buffer_pct,retest_reference,retest_distance_pct,retest_quality_score,retest_quality_reasons,ema20_slope5_pct,support_touch_count,higher_low,bullish_close,stop,stop_basis,stop_anchor,stop_anchor_distance_pct,risk_pct,swing5_low,swing10_low,target_5,target_8,target_10,rr_to_8pct,next_higher_resistance,runway_to_next_resistance_pct,runway_ok,min_runway_required_pct,effective_target,effective_target_pct,effective_rr,effective_rr_ok,min_effective_rr_required,distance_to_20d_high_pct,extension_above_20d_high_pct,liquidity_gate_passed,volatility_gate_passed,company_name,stage_rank,rank_score,theme,theme_etf,theme_score,theme_state,theme_bonus,theme_match_confidence,theme_match_source,theme_match_reason,sector_regime_ok,catalyst_score,catalyst_status,catalyst_type,catalyst_bias,catalyst_headline,catalyst_provider,catalyst_age_hours,catalyst_relevance,catalyst_fresh,news_freshness_status,catalyst_materiality,rejected_news_count,earnings_days,negative_catalyst_risk,final_score,final_decision,live_status,live_session_date,live_bar_at_et,live_bar_high,live_bar_low,live_price,session_high,session_low,live_vwap,live_above_vwap,opening_range_high,opening_range_low,live_above_or_high,intraday_rvol,volume_vs_9ma,opening_30m_rvol,opening_volume_spike_2x,quote_bid,quote_ask,bid_ask_spread_pct,spread_gate_passed,spread_gate_source,live_trigger_reached,live_retest_touched,live_confirmation_score,premarket_price,premarket_gap_pct,premarket_volume,premarket_status,live_trade_action,order_flow_mode,order_flow_score,order_flow_state,buy_pressure_pct,sell_pressure_pct,signed_volume_proxy,volume_imbalance_proxy,close_location_value,volume_impulse,vwap_pressure,market_hunt_score,universal_10pct_gate,leader_status
IOVA,10.22,14495370.0,127043138.0,102200989.0,6.32,27.91,43.09,True,,"Iovance Biotherapeutics, Inc. - Common Stock",NASDAQ,10.19,REJECT,REJECT,"20/50 uptrend, rising EMA50",26.0,44.0,55.0,NO TRADE,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,28.47,75.9,1.06,43.09,3.0,True,4.85,127049692.0,8.53,7.14,4.73,7.66,9.93,3.76,9.36,3.18,9.36,10.19,RESISTANCE_BREAKOUT,BREAKOUT,2.66,,,0.0,,,0.0,False,False,9.58,ATR_FALLBACK,9.45,7.27,6.0,8.04,8.04,10.7,11.01,11.21,1.33,,,False,5.0,11.01,8.0,1.33,False,2.5,-2.59,2.66,True,True,"Iovance Biotherapeutics, Inc. - Common Stock",0.0,35.6,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0.0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0.0,,False,35.6,NO TRADE,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0.0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,35.6,True,NO TRADE
META,679.0,17576536.0,10760506870.0,9830370638.0,2.88,24.35,6.55,True,,"Meta Platforms, Inc. - Class A Common Stock",NASDAQ,678.3,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance",42.0,60.0,55.0,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,25.11,87.3,0.44,6.55,0.0,False,3.09,10762327670.0,625.57,608.25,629.76,539.31,685.31,524.49,686.08,519.78,690.88,686.99,RESISTANCE_BREAKOUT,BREAKOUT,0.24,,,0.0,,,0.0,False,False,645.77,SWING5,642.14,6.53,6.0,642.14,577.0,721.34,741.95,755.69,1.33,690.88,0.57,False,5.0,690.88,0.57,0.09,False,2.5,1.03,0.0,True,True,"Meta Platforms, Inc. - Class A Common Stock",2.0,49.2,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0.0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0.0,,False,49.2,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0.0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,49.2,False,TRACK ONLY / NO +10% DAY IN LAST 30
MSFT,495.21,19545635.0,9733341478.0,9462299819.0,1.84,2.44,2.68,False,LOW_DAILY_RANGE,Microsoft Corporation - Common Stock,NASDAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Corporation - Common Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,NO TRADE / BASE GATE: LOW_DAILY_RANGE
MSTR,132.18,26978631.0,3482350002.0,2891926163.0,5.98,26.79,17.56,True,,Strategy Inc - Class A Common Stock,NASDAQ,132.45,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, tight range, volume contraction",42.0,60.0,35.0,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,27.93,47.2,0.42,17.56,3.0,True,6.76,3483149256.0,126.52,119.13,151.58,108.35,144.92,81.81,144.92,81.81,197.0,145.64,RESISTANCE_BREAKOUT,BREAKOUT,0.49,,,0.0,,,0.0,False,False,136.9,ATR_FALLBACK,132.21,9.22,6.0,123.33,121.38,152.92,157.29,160.2,1.33,197.0,35.27,True,5.0,157.29,8.0,1.33,False,2.5,9.41,0.0,True,True,Strategy Inc - Class A Common Stock,2.0,52.2,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0.0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0.0,,False,52.2,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0.0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,52.2,True,WATCHLIST
MU,976.12,23915061.0,22921756917.0,22401217994.0,3.82,4.16,6.1,True,,"Micron Technology, Inc. - Common Stock",NASDAQ,977.58,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, volume contraction, low-volume pullback",52.0,72.0,35.0,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,5.2,56.2,0.61,6.1,0.0,False,4.39,22927601540.0,954.14,933.16,695.41,887.61,1042.4,737.88,1254.81,311.44,1254.81,1045.83,RESISTANCE_BREAKOUT,BREAKOUT,0.33,,,0.0,,,0.0,False,False,983.08,ATR_FALLBACK,981.5,6.15,6.0,902.6,902.6,1098.12,1129.5,1150.41,1.33,1254.81,19.98,True,5.0,1129.5,8.0,1.33,False,2.5,6.63,0.0,True,True,"Micron Technology, Inc. - Common Stock",2.0,54.6,Semiconductors,SMH,61.2,STRONG,1.34,1.0,STATIC_CONSTITUENT,verified theme membership,True,0.0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0.0,,False,55.9,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0.0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,55.9,False,TRACK ONLY / NO +10% DAY IN LAST 30
NFLX,75.71,25761327.0,2046316440.0,1959009504.0,2.43,-5.62,5.43,True,,"Netflix, Inc. - Common Stock",NASDAQ,75.61,REJECT,REJECT,near EMA50 support,14.0,20.0,40.0,NO TRADE,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,-4.86,39.7,0.52,5.43,0.0,False,2.93,2046990446.0,78.04,77.86,87.24,75.03,83.6,65.08,83.6,65.08,108.95,83.78,RESISTANCE_BREAKOUT,BREAKOUT,0.21,,,0.0,,,0.0,False,False,80.05,ATR_FALLBACK,80.45,3.97,4.45,75.03,75.03,87.97,90.48,92.16,1.8,108.95,30.05,True,5.0,90.48,8.0,1.8,False,2.5,10.57,0.0,True,True,"Netflix, Inc. - Common Stock",0.0,7.4,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0.0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0.0,,False,7.4,NO TRADE,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0.0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,7.4,False,TRACK ONLY / NO +10% DAY IN LAST 30
NVDA,218.88,127588454.0,27946518317.0,26764948610.0,2.54,0.72,8.74,True,,NVIDIA Corporation - Common Stock,NASDAQ,218.9,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, near EMA50 support, volume contraction, low-volume pullback",50.0,60.0,20.0,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,1.61,42.3,0.4,8.74,0.0,False,2.95,27949563326.0,217.93,214.62,200.94,207.02,234.5,189.59,234.5,163.9,236.0,235.01,RESISTANCE_BREAKOUT,BREAKOUT,0.22,,,0.0,,,0.0,False,False,224.15,ATR_FALLBACK,225.32,4.13,4.62,208.93,208.93,246.77,253.82,258.52,1.73,236.0,0.42,False,5.0,236.0,0.42,0.09,False,2.5,7.13,0.0,True,True,NVIDIA Corporation - Common Stock,2.0,46.8,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0.0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0.0,,False,46.8,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0.0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,46.8,False,TRACK ONLY / NO +10% DAY IN LAST 30
PLTR,175.12,27699059.0,4883960529.0,4767521014.0,3.98,-0.04,10.32,True,,Palantir Technologies Inc. - Class A Common Stock,NASDAQ,175.15,REJECT,REJECT,"20/50 uptrend, rising EMA50, volume contraction",32.0,42.0,35.0,NO TRADE,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,0.86,40.7,0.47,10.32,1.0,True,3.99,4884596221.0,172.03,161.83,153.81,164.55,188.37,106.37,188.37,106.37,188.37,188.93,RESISTANCE_BREAKOUT,BREAKOUT,0.3,,,0.0,,,0.0,False,False,177.59,ATR_FALLBACK,178.45,5.55,6.0,164.55,164.55,198.38,204.04,207.82,1.33,,,False,5.0,204.04,8.0,1.33,False,2.5,7.55,0.0,True,True,Palantir Technologies Inc. - Class A Common Stock,0.0,28.9,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0.0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0.0,,False,28.9,NO TRADE,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0.0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,28.9,True,NO TRADE
QCOM,190.76,11383710.0,1954098047.0,1748259404.0,3.7,18.46,4.66,True,,QUALCOMM Incorporated - Common Stock,NASDAQ,190.7,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance",42.0,60.0,55.0,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,19.3,79.0,0.47,4.66,0.0,False,4.23,1954303774.0,174.74,173.14,170.42,155.38,191.28,142.12,232.18,120.88,257.56,191.93,RESISTANCE_BREAKOUT,BREAKOUT,0.34,,,0.0,,,0.0,False,False,180.41,ATR_FALLBACK,179.83,6.3,6.0,170.51,164.19,201.52,207.28,211.12,1.33,232.18,20.97,True,5.0,207.28,8.0,1.33,False,2.5,0.31,0.0,True,True,QUALCOMM Incorporated - Common Stock,2.0,48.8,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0.0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0.0,,False,48.8,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0.0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,48.8,False,TRACK ONLY / NO +10% DAY IN LAST 30
TSLA,367.96,38767938.0,13951849411.0,11578697637.0,3.34,4.8,5.51,True,,"Tesla, Inc.  - Common Stock",NASDAQ,368.06,FORMING,FORMING,"above EMA50, rising EMA50, near EMA50 support, near EMA200 pivot, tight range, volume contraction",70.0,90.0,35.0,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,5.71,55.5,0.67,5.51,0.0,False,3.93,13952838526.0,357.94,359.46,388.0,338.96,384.04,297.38,432.86,297.38,453.4,385.2,RESISTANCE_BREAKOUT,BREAKOUT,0.3,,,0.0,,,0.0,False,False,362.08,ATR_FALLBACK,363.51,5.63,6.0,354.05,349.92,404.46,416.01,423.72,1.33,432.86,12.37,True,5.0,416.01,8.0,1.33,False,2.5,4.34,0.0,True,True,"Tesla, Inc.  - Common Stock",3.0,70.1,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,44.0,ACTIVE,FRESH NEWS,NEUTRAL,Tesla expands Semi charging network with new California truck hubs,GuruFocus.com,2.2,COMPANY_NAME,True,FRESH_24H,LOW,4.0,34.1,False,78.9,WATCHLIST,LIVE,2026-09-17,2026-09-17T13:20:00-04:00,368.09,367.24,367.36,374.12,363.22,368.41,False,371.29,363.22,False,1.35,0.44,1.38,False,,,,True,LIQUIDITY_PROXY,False,False,20.0,367.62,2.66,0.0,AVAILABLE,WAIT / LIVE CONFIRMATION,BAR_PROXY,52.8,BALANCED,58.9,41.1,1816110.0,6.9,0.065,1.02,-0.28,80.9,False,TRACK ONLY / NO +10% DAY IN LAST 30
