session_date_et,alerted_at_et,ticker,source,conviction_score,price,entry,stop,target,theme,rotation_score,rel_vs_spy_pct,intraday_rvol,day_change_pct,state,reason,telegram_sent,telegram_status,order_flow_score,order_flow_state,buy_pressure_pct
2026-09-15,2026-09-15T16:26:15-04:00,XOM,FAST_MOMENTUM,72.0,169.29,169.29,168.24,182.8332,Energy,100.0,2.91,1.66,2.56,STRONG BUY,Momentum BUY + leading rotation + strong relative strength + RVOL,False,NOT_CONFIGURED,,,
2026-09-17,2026-09-17T13:23:19-04:00,FSLR,FAST_MOMENTUM,76.4,202.67,202.67,197.54,218.8836,Clean Energy,94.8,5.08,1.6,6.13,STRONG BUY,Momentum BUY + leading rotation + strong relative strength + RVOL + positive order-flow proxy,False,NOT_CONFIGURED,75.5,STRONG BUYING PRESSURE,75.7
