ticker,price,avg_share_volume20,avg_dollar_volume20,median_dollar_volume20,adr20_pct,tradable,rejection_reason,name,exchange
ALLR,1.22,87905.0,118393.0,79899.0,6.87,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Allarity Therapeutics, Inc. - Common stock",NASDAQ
MRKR,1.15,89390.0,118029.0,73723.0,8.65,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Marker Therapeutics, Inc. - Common Stock",NASDAQ
UNB,23.75,4930.0,117726.0,88964.0,1.19,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,"Union Bankshares, Inc. - Common Stock",NASDAQ
JENA,10.48,11305.0,117459.0,1047.0,0.09,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,Jena Acquisition Corporation II Class A Ordinary Shares,NYSE
CCEC,22.32,5150.0,116851.0,124562.0,1.27,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,Capital Clean Energy Carriers Corp. - Common Share,NASDAQ
XBIT,2.19,52040.0,116182.0,71994.0,2.78,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,XBiotech Inc. - Common Stock,NASDAQ
CMCT,2.67,28490.0,115456.0,64157.0,12.14,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Creative Media  - Common Stock,NASDAQ
PASG,5.0,24295.0,115092.0,55622.0,6.51,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Passage Bio, Inc. - Common Stock",NASDAQ
PMAX,0.96,114285.0,114943.0,37594.0,13.6,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Powell Max Limited - Class A Ordinary Shares,NASDAQ
HWH,2.15,58615.0,114902.0,23622.0,7.52,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,HWH International Inc. - Common Stock,NASDAQ
ORIO,1.05,109430.0,114095.0,49219.0,10.25,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Orion Digital Corp. - Common Shares,NASDAQ
OKYO,1.4,74550.0,113833.0,91363.0,6.14,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,OKYO Pharma Limited - Ordinary Shares,NASDAQ
KTTA,0.53,206925.0,113721.0,120824.0,7.43,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Pasithea Therapeutics Corp. - Common Stock,NASDAQ
SLND,0.59,175270.0,113657.0,92579.0,8.79,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Southland Holdings, Inc. Common Stock",NYSE American
CSPI,7.76,14470.0,112906.0,95658.0,5.86,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,CSP Inc. - Common Stock,NASDAQ
JZXN,1.15,92200.0,112323.0,76854.0,6.24,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Jiuzi Holdings, Inc. - Ordinary Shares",NASDAQ
HLXC,10.8,10350.0,112308.0,14454.0,1.36,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,Helix Acquisition Corp. III - Class A Ordinary Shares,NASDAQ
AIIA,10.25,10930.0,111717.0,3582.0,0.1,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,AI Infrastructure Acquisition Corp. Class A Ordinary Shares,NYSE
BQ,0.85,112720.0,111276.0,46644.0,6.96,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Boqii Holding Limited Class A Ordinary Shares,NYSE American
EP,2.5,38630.0,111140.0,101690.0,7.68,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Empire Petroleum Corporation Common Stock,NYSE American
GGZ,16.06,6695.0,110089.0,83371.0,1.32,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,Gabelli Global Small and Mid Cap Value Trust (The) Common Shares of Beneficial Interest,NYSE
LGL,6.78,14995.0,110027.0,112540.0,3.57,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"LGL Group, Inc. (The) Common Stock",NYSE American
GMM,2.13,43265.0,109309.0,87318.0,5.72,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Global Mofy AI Limited  - Class A Ordinary Shares,NASDAQ
PRFX,0.86,110460.0,108333.0,51496.0,6.39,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,PRF Technologies Ltd. - Ordinary Shares,NASDAQ
INM,1.29,75735.0,107513.0,93945.0,6.72,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,InMed Pharmaceuticals Inc. - Common Shares,NASDAQ
AHT,3.16,32635.0,106796.0,56433.0,3.03,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Ashford Hospitality Trust Inc Common Stock,NYSE
ITHA,10.05,10550.0,106325.0,2009.0,0.06,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,ITHAX Acquisition Corp III - Class A Ordinary Shares,NASDAQ
SOCA,10.35,10260.0,106131.0,0.0,0.0,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,Solarius Capital Acquisition Corp. - Class A Ordinary Share,NASDAQ
MOG-B,365.95,270.0,106034.0,75934.0,0.54,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,Moog Inc. Class B Common Stock,NYSE
TEAD,0.47,199955.0,105513.0,67816.0,9.05,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Teads Holding Co. - Common Stock,NASDAQ
MSAI,4.81,20035.0,105415.0,89015.0,6.45,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"MultiSensor AI Holdings, Inc. - Common Stock",NASDAQ
GSRF,10.23,10215.0,104327.0,0.0,0.01,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,GSR IV Acquisition Corp. - Class A ordinary share,NASDAQ
CLDI,1.24,76585.0,104123.0,66441.0,7.71,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Calidi Biotherapeutics, Inc. Common Stock",NYSE American
INEO,0.56,178730.0,103716.0,6712.0,10.66,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,INNEOVA Holdings Limited - Class A Ordinary Shares,NASDAQ
TVIV,9.97,10385.0,103030.0,0.0,0.11,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,Texas Ventures Acquisition IV Corp - Class A Ordinary Shares,NASDAQ
