ticker,price,stage,technical_stage,pattern,formation_score,technical_score,risk_score,decision,market_regime_state,market_regime_score,market_regime_reason,rs20_vs_spy,rsi14,rvol,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,atr_pct,avg_dollar_volume,ema20,ema50,ema200,daily_support,daily_resistance,weekly_support,weekly_resistance,monthly_support,monthly_resistance,entry_trigger,entry_model,entry_condition,entry_buffer_pct,retest_reference,retest_distance_pct,retest_quality_score,retest_quality_reasons,ema20_slope5_pct,support_touch_count,higher_low,bullish_close,stop,stop_basis,stop_anchor,stop_anchor_distance_pct,risk_pct,swing5_low,swing10_low,target_5,target_8,target_10,rr_to_8pct,next_higher_resistance,runway_to_next_resistance_pct,runway_ok,min_runway_required_pct,effective_target,effective_target_pct,effective_rr,effective_rr_ok,min_effective_rr_required,distance_to_20d_high_pct,extension_above_20d_high_pct,avg_share_volume20,median_dollar_volume20,adr20_pct,liquidity_gate_passed,volatility_gate_passed,company_name,stage_rank,rank_score,theme,theme_etf,theme_score,theme_state,theme_bonus,theme_match_confidence,theme_match_source,theme_match_reason,sector_regime_ok,catalyst_score,catalyst_status,catalyst_type,catalyst_bias,catalyst_headline,catalyst_provider,catalyst_age_hours,catalyst_relevance,catalyst_fresh,news_freshness_status,catalyst_materiality,rejected_news_count,earnings_days,negative_catalyst_risk,final_score,final_decision,live_status,live_session_date,live_bar_at_et,live_bar_high,live_bar_low,live_price,session_high,session_low,live_vwap,live_above_vwap,opening_range_high,opening_range_low,live_above_or_high,intraday_rvol,volume_vs_9ma,opening_30m_rvol,opening_volume_spike_2x,quote_bid,quote_ask,bid_ask_spread_pct,spread_gate_passed,spread_gate_source,live_trigger_reached,live_retest_touched,live_confirmation_score,premarket_price,premarket_gap_pct,premarket_volume,premarket_status,live_trade_action,market_hunt_score,universal_10pct_gate,v4_priority_score,monitor_tier
AUGO,84.82,FORMING,FORMING,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback",58,76,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,11.02,40.0,0.63,13.79,3,True,5.27,87450427.0,83.09,76.29,66.22,74.09,90.64,47.61,90.64,47.61,108.18,91.0,RESISTANCE_BREAKOUT,BREAKOUT,0.39,,,0,,,0,False,False,85.54,ATR_FALLBACK,84.29,7.37,6.0,82.22,78.59,95.55,98.28,100.1,1.33,108.18,18.88,True,5.0,98.28,8.0,1.33,False,2.5,6.86,0.0,1023097.0,78289343.0,4.63,True,True,Aura Minerals Inc. - Common Shares,3,61.3,Gold Miners,GDX,64.2,STRONG,1.62,0.95,INDUSTRY,gold -> gold,True,20,HISTORICAL / CONTEXT,HISTORICAL NEWS,NEUTRAL,Aura Minerals (AUGO) Q2 2026 Earnings Call Transcript,Motley Fool,809.8,COMPANY_NAME,False,HISTORICAL,LOW,2,51.1,False,66.9,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,66.9,True,83.96,HOT
IOVA,9.19,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance, volume contraction",48,72,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,31.53,61.1,0.39,43.09,3,True,4.73,120309599.0,8.18,6.89,4.62,6.93,9.41,3.76,9.36,3.18,9.36,9.44,RESISTANCE_BREAKOUT,BREAKOUT,0.37,,,0,,,0,False,False,8.88,ATR_FALLBACK,8.79,6.91,6.0,8.04,7.66,9.92,10.2,10.39,1.33,,,False,5.0,10.2,8.0,1.33,False,2.5,2.34,0.0,14210112.0,99735335.0,6.46,True,True,"Iovance Biotherapeutics, Inc. - Common Stock",2,61.2,Biotechnology,XBI,54.3,NEUTRAL,0.52,1.0,STATIC_CONSTITUENT,verified theme membership,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,61.7,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,61.7,True,74.92,HOT
CAI,28.05,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance, volume contraction",48,72,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,31.71,50.2,1.07,21.58,2,True,4.8,129398942.0,24.59,22.17,21.9,20.78,28.32,15.11,28.32,14.19,28.32,28.43,RESISTANCE_BREAKOUT,BREAKOUT,0.38,,,0,,,0,False,False,26.72,ATR_FALLBACK,26.41,7.1,6.0,23.2,23.2,29.85,30.7,31.27,1.33,,,False,5.0,30.7,8.0,1.33,False,2.5,0.96,0.0,5085249.0,127103609.0,5.61,True,True,"Caris Life Sciences, Inc. - Common Stock",2,61.2,Biotechnology,XBI,54.3,NEUTRAL,0.49,0.95,INDUSTRY,biotechnology -> biotechnology,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,61.7,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,61.7,True,72.81,HOT
MSTR,131.15,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",50,74,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,36.29,52.3,0.35,17.56,3,True,7.12,3515639367.0,126.02,118.34,151.89,92.45,144.92,81.81,144.92,81.81,197.0,145.67,RESISTANCE_BREAKOUT,BREAKOUT,0.52,,,0,,,0,False,False,136.93,ATR_FALLBACK,131.66,9.62,6.0,126.91,121.38,152.95,157.32,160.23,1.33,197.0,35.24,True,5.0,157.32,8.0,1.33,False,2.5,10.5,0.0,27934265.0,3002326494.0,6.26,True,True,Strategy Inc - Class A Common Stock,2,62.8,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,62.8,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,62.8,True,70.19,HOT
ANF,137.62,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, tight range, volume contraction, low-volume pullback",46,70,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,32.89,66.0,0.22,35.67,1,True,6.64,345393696.0,134.95,119.17,99.64,100.43,155.22,83.98,155.22,69.68,154.58,155.95,RESISTANCE_BREAKOUT,BREAKOUT,0.47,,,0,,,0,False,False,146.59,ATR_FALLBACK,142.24,8.79,6.0,140.52,136.17,163.75,168.43,171.55,1.33,,,False,5.0,168.43,8.0,1.33,False,2.5,12.79,0.0,2464115.0,220709229.0,4.89,True,True,Abercrombie & Fitch Company Common Stock,2,59.4,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,59.4,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,59.4,True,69.9,HOT
SBET,8.4,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",50,74,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,31.0,50.4,0.4,12.56,2,True,7.27,80099373.0,8.19,7.35,8.22,6.16,9.49,4.46,9.49,4.46,9.06,9.54,RESISTANCE_BREAKOUT,BREAKOUT,0.51,,,0,,,0,False,False,8.97,ATR_FALLBACK,8.62,9.59,6.0,8.33,7.89,10.02,10.3,10.49,1.33,,,False,5.0,10.3,8.0,1.33,False,2.5,13.03,0.0,9758102.0,66497760.0,6.29,True,True,"Sharplink, Inc. - Common Stock",2,62.8,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,62.8,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,62.8,True,68.94,HOT
SMMT,17.18,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",50,68,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,36.49,70.2,0.53,17.33,1,True,6.22,92541414.0,15.83,15.1,16.29,12.22,18.83,12.07,18.32,12.07,29.23,18.92,RESISTANCE_BREAKOUT,BREAKOUT,0.45,,,0,,,0,False,False,17.78,ATR_FALLBACK,17.31,8.48,6.0,16.8,13.37,19.86,20.43,20.81,1.33,29.23,54.53,True,5.0,20.43,8.0,1.33,False,2.5,9.57,0.0,6073459.0,74456404.0,5.56,True,True,Summit Therapeutics Inc.  - Common Stock,2,59.0,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,59.0,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,59.0,True,66.33,HOT
ROIV,39.63,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",50,74,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,11.39,60.8,0.41,18.75,1,True,4.49,325894474.0,37.87,35.97,29.65,33.43,42.5,30.7,42.5,25.95,37.97,42.64,RESISTANCE_BREAKOUT,BREAKOUT,0.33,,,0,,,0,False,False,40.08,ATR_FALLBACK,39.97,6.26,6.0,38.41,33.43,44.77,46.05,46.91,1.33,,,False,5.0,46.05,8.0,1.33,False,2.5,7.23,0.0,8710344.0,230279358.0,3.59,True,True,Roivant Sciences Ltd. - Common Shares,2,58.5,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,58.5,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,58.5,True,66.19,HOT
PSNL,16.13,DISCOVER,DISCOVER,"above EMA50, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",52,70,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,18.15,33.1,0.27,13.66,1,True,3.66,62939712.0,16.18,14.78,10.93,13.68,18.89,9.65,18.89,4.95,18.89,18.94,RESISTANCE_BREAKOUT,BREAKOUT,0.25,,,0,,,0,False,False,17.95,ATR_FALLBACK,18.05,4.68,5.24,16.0,16.0,19.88,20.45,20.83,1.53,,,False,5.0,20.45,8.0,1.53,False,2.5,17.11,0.0,3735790.0,44510700.0,4.39,True,True,"Personalis, Inc. - Common Stock",2,59.7,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,59.7,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,59.7,True,66.12,HOT
ASST,27.65,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",50,68,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,111.5,73.8,0.53,15.08,4,True,7.94,244523735.0,23.51,19.01,25.4,12.7,29.6,10.53,29.04,7.66,24.48,29.78,RESISTANCE_BREAKOUT,BREAKOUT,0.59,,,0,,,0,False,False,27.99,ATR_FALLBACK,26.48,11.06,6.0,25.6,21.95,31.26,32.16,32.75,1.33,,,False,5.0,32.16,8.0,1.33,False,2.5,7.05,0.0,10556452.0,245510503.0,8.67,True,True,"Strive, Inc. - Class A Common Stock",2,59.0,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,59.0,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,59.0,True,65.77,WARM
DK,77.5,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range",52,70,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,17.34,71.8,0.32,11.6,1,True,5.64,133597277.0,72.08,65.98,50.04,63.13,79.15,40.74,78.43,36.68,75.24,79.5,RESISTANCE_BREAKOUT,BREAKOUT,0.44,,,0,,,0,False,False,74.73,ATR_FALLBACK,72.94,8.25,6.0,73.3,69.14,83.47,85.86,87.45,1.33,,,False,5.0,85.86,8.0,1.33,False,2.5,2.13,0.0,1845807.0,119356934.0,5.79,True,True,"Delek US Holdings, Inc. Common Stock",2,59.3,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,59.3,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,59.3,True,65.2,WARM
HOOD,110.54,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",50,68,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,16.88,48.5,0.59,16.57,2,True,5.61,2459622937.0,109.4,103.61,99.26,91.44,125.25,83.68,125.25,63.51,120.05,125.75,RESISTANCE_BREAKOUT,BREAKOUT,0.4,,,0,,,0,False,False,118.2,ATR_FALLBACK,116.44,7.4,6.0,111.02,100.68,132.03,135.81,138.32,1.33,,,False,5.0,135.81,8.0,1.33,False,2.5,13.3,0.0,22380609.0,2187689393.0,5.68,True,True,"Robinhood Markets, Inc. - Class A Common Stock",2,57.4,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,57.4,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,57.4,True,64.54,WARM
PTEN,12.85,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, tight range, volume contraction, low-volume pullback",54,74,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,7.98,68.2,0.32,11.35,1,True,4.55,94027268.0,12.28,11.49,9.72,10.95,13.39,8.43,13.39,8.34,12.86,13.44,RESISTANCE_BREAKOUT,BREAKOUT,0.35,,,0,,,0,False,False,12.63,ATR_FALLBACK,12.56,6.53,6.0,12.31,12.19,14.11,14.51,14.78,1.33,,,False,5.0,14.51,8.0,1.33,False,2.5,4.24,0.0,7580236.0,98631034.0,4.08,True,True,"Patterson-UTI Energy, Inc. - Common Stock",2,57.6,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,57.6,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,57.6,True,63.44,WARM
MNDY,97.4,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, near EMA200 pivot",44,68,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,18.91,54.1,0.4,10.67,1,True,5.63,106664384.0,91.31,88.1,100.64,79.2,102.0,66.85,102.0,57.5,102.0,102.44,RESISTANCE_BREAKOUT,BREAKOUT,0.43,,,0,,,0,False,False,96.29,ATR_FALLBACK,94.22,8.02,6.0,79.2,79.2,107.56,110.63,112.68,1.33,,,False,5.0,110.63,8.0,1.33,False,2.5,4.72,0.0,1157444.0,104477974.0,5.16,True,True,monday.com Ltd. - Ordinary Shares,2,57.2,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,57.2,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,57.2,True,62.87,WARM
HNGE,94.75,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range",52,72,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,9.86,57.6,0.25,11.55,1,True,4.78,164785899.0,90.21,84.8,66.15,84.23,95.57,67.86,95.57,34.64,95.57,95.93,RESISTANCE_BREAKOUT,BREAKOUT,0.38,,,0,,,0,False,False,90.18,EMA20,90.21,5.97,6.0,86.29,85.75,100.73,103.61,105.53,1.33,,,False,5.0,103.61,8.0,1.33,False,2.5,0.87,0.0,1823292.0,154257521.0,4.98,True,True,"Hinge Health, Inc. Class A Common Stock",2,56.9,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,56.9,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,56.9,True,62.79,WARM
MRNA,144.37,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, tight range, volume contraction",42,60,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,126.0,39.5,0.12,176.97,2,True,7.22,5247185233.0,131.91,105.1,65.61,62.13,176.66,52.66,176.66,43.68,176.66,177.49,RESISTANCE_BREAKOUT,BREAKOUT,0.47,,,0,,,0,False,False,166.84,ATR_FALLBACK,161.86,8.81,6.0,130.38,130.38,186.37,191.69,195.24,1.33,,,False,5.0,191.69,8.0,1.33,False,2.5,22.37,0.0,34525667.0,2552054061.0,9.83,True,True,"Moderna, Inc. - Common Stock",2,52.2,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,52.2,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,52.2,True,62.7,WARM
IT,201.21,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance",42,66,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,14.32,53.2,0.48,22.61,1,True,4.3,208500134.0,185.7,175.24,179.01,166.01,203.03,124.25,203.03,124.25,203.03,203.72,RESISTANCE_BREAKOUT,BREAKOUT,0.34,,,0,,,0,False,False,191.5,ATR_FALLBACK,190.74,6.37,6.0,166.01,166.01,213.91,220.02,224.09,1.33,,,False,5.0,220.02,8.0,1.33,False,2.5,0.9,0.0,1099066.0,204127255.0,4.28,True,True,"Gartner, Inc. Common Stock",2,53.2,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,53.2,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,53.2,True,61.85,WARM
TEM,66.54,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, tight range, volume contraction",42,60,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,30.88,46.0,0.5,24.09,2,True,6.28,524985514.0,61.68,57.93,59.02,49.35,72.96,40.77,72.96,40.77,72.96,73.29,RESISTANCE_BREAKOUT,BREAKOUT,0.46,,,0,,,0,False,False,68.9,ATR_FALLBACK,67.02,8.55,6.0,57.72,57.72,76.96,79.16,80.62,1.33,,,False,5.0,79.16,8.0,1.33,False,2.5,9.65,0.0,8102026.0,373437521.0,7.4,True,True,"Tempus AI, Inc. - Class A Common Stock",2,52.2,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,52.2,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,52.2,True,61.22,WARM
CRK,14.61,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, near EMA50 support, volume contraction, low-volume pullback",50,70,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,9.85,53.8,0.25,11.02,1,True,4.95,39978076.0,14.6,14.32,16.21,13.44,16.12,12.12,16.12,12.12,23.44,16.18,RESISTANCE_BREAKOUT,BREAKOUT,0.36,,,0,,,0,False,False,15.21,ATR_FALLBACK,15.09,6.71,6.0,14.28,14.28,16.99,17.47,17.8,1.33,23.44,44.89,True,5.0,17.47,8.0,1.33,False,2.5,10.34,0.0,2678623.0,32162639.0,4.26,True,True,"Comstock Resources, Inc. Common Stock",2,55.2,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,55.2,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,55.2,True,60.96,WARM
SIG,100.97,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance",42,60,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,19.28,70.7,0.4,23.96,1,True,4.54,93905084.0,91.04,89.28,89.03,79.01,103.49,79.01,103.49,71.34,100.41,103.86,RESISTANCE_BREAKOUT,BREAKOUT,0.35,,,0,,,0,False,False,97.63,ATR_FALLBACK,96.98,6.62,6.0,80.0,80.0,109.05,112.17,114.24,1.33,,,False,5.0,112.17,8.0,1.33,False,2.5,2.5,0.0,1033565.0,64180321.0,3.97,True,True,Signet Jewelers Limited Common Shares,2,51.8,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,51.8,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,51.8,True,60.79,WARM
VEEV,270.52,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, tight range, volume contraction",42,66,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,15.53,62.1,0.31,15.2,1,True,4.52,466184938.0,260.56,236.19,214.72,238.93,296.24,151.15,296.24,148.05,296.24,297.22,RESISTANCE_BREAKOUT,BREAKOUT,0.33,,,0,,,0,False,False,279.39,ATR_FALLBACK,278.86,6.18,6.0,258.19,258.19,312.08,321.0,326.94,1.33,,,False,5.0,321.0,8.0,1.33,False,2.5,9.51,0.0,1739377.0,365700287.0,3.24,True,True,Veeva Systems Inc. Class A Common Stock,2,53.8,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,53.8,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,53.8,True,60.6,WARM
HALO,106.68,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, tight range, volume contraction, low-volume pullback",54,68,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,5.59,41.4,0.24,20.24,1,True,2.28,158750104.0,105.54,96.57,80.31,102.39,111.15,68.27,111.15,61.33,109.66,111.34,RESISTANCE_BREAKOUT,BREAKOUT,0.18,,,0,,,0,False,False,105.63,SWING5,106.07,4.74,5.13,106.07,103.47,116.91,120.25,122.48,1.56,,,False,5.0,120.25,8.0,1.56,False,2.5,4.19,0.0,1474096.0,171048832.0,2.21,True,True,"Halozyme Therapeutics, Inc. - Common Stock",2,52.5,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,52.5,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,52.5,True,60.56,WARM
HTFL,49.06,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, volume contraction",40,58,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,19.0,47.2,0.3,35.7,1,True,5.03,96585050.0,46.16,39.85,32.87,40.67,51.78,23.87,51.78,20.41,51.19,51.98,RESISTANCE_BREAKOUT,BREAKOUT,0.38,,,0,,,0,False,False,48.86,ATR_FALLBACK,48.27,7.13,6.0,45.41,45.41,54.57,56.13,57.17,1.33,,,False,5.0,56.13,8.0,1.33,False,2.5,5.54,0.0,2002025.0,87423832.0,5.32,True,True,"Heartflow, Inc. - Common Stock",2,50.0,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,50.0,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,50.0,True,60.5,WARM
EL,97.54,DISCOVER,DISCOVER,"above EMA50, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",42,60,20,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,18.08,33.8,0.19,16.3,1,True,3.16,387050955.0,97.78,92.84,89.46,83.57,108.01,76.57,108.01,65.74,108.01,108.26,RESISTANCE_BREAKOUT,BREAKOUT,0.23,,,0,,,0,False,False,103.08,ATR_FALLBACK,103.63,4.27,4.79,95.92,95.92,113.67,116.92,119.09,1.67,,,False,5.0,116.92,8.0,1.67,False,2.5,10.73,0.0,3871688.0,322768333.0,3.26,True,True,"Estee Lauder Companies, Inc. (The) Common Stock",2,53.4,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,53.4,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,53.4,True,60.48,WARM
