trader,legendary_setup,ticker,company_name,price,stage,theme,market_hunt_score,technical_score,formation_score,rs20_vs_spy,rsi14,atr_pct,adr20_pct,entry_trigger,entry_model,stop,effective_target,effective_rr,runway_to_next_resistance_pct,catalyst_status,catalyst_score,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,intraday_rvol,pattern,legendary_score,setup_match,setup_reason,rsi_state
Martin Luk,Asymmetric 5:1 Momentum Swing,NBIX,"Neurocrine Biosciences, Inc. - Common Stock",156.22,DISCOVER,UNCLASSIFIED,55.2,70,50,5.33,61.5,2.73,2.56,160.77,RESISTANCE_BREAKOUT,157.58,173.63,4.03,15.77,NOT CHECKED,0,2.25,0,False,,"near EMA50 support, compressed below 20d resistance, tight range, volume contraction, low-volume pullback",54.2,WATCH,High-momentum swing with tightly capped downside and strongly asymmetric upside; prioritizes 3:1+ and rewards 5:1 opportunities,MOMENTUM SWEET SPOT
Martin Luk,Asymmetric 5:1 Momentum Swing,OPLN,"OPENLANE, Inc. Common Stock",35.28,DISCOVER,UNCLASSIFIED,50.7,66,50,1.69,64.3,2.46,2.63,36.1,RESISTANCE_BREAKOUT,35.22,38.99,3.29,18.84,NOT CHECKED,0,3.55,0,False,,"near EMA50 support, compressed below 20d resistance, tight range, volume contraction, low-volume pullback",40.4,WATCH,High-momentum swing with tightly capped downside and strongly asymmetric upside; prioritizes 3:1+ and rewards 5:1 opportunities,MOMENTUM SWEET SPOT
