ticker,event_type,event_date_utc,days_to_event,event_priority,event_source,company_name,avg_dollar_volume20,eps_estimate,fiscal_date_ending,earnings_currency,earnings_report_time,price,stage,technical_stage,pattern,technical_score,risk_score,entry_trigger,entry_model,stop,effective_target,effective_rr,runway_to_next_resistance_pct,market_regime_state,market_regime_score,pre_event_setup_state,earnings_history_samples,beat_rate_pct,miss_rate_pct,median_surprise_pct,latest_surprise_pct,surprise_streak,estimate_revision_status,prior_earnings_reaction_avg_pct,prior_earnings_reaction_median_pct,prior_earnings_reaction_abs_avg_pct,prior_earnings_positive_reaction_rate,prior_earnings_reaction_samples,pre_event_range10_pct,pre_event_range20_pct,pre_event_vol5_vs20,pre_event_ret5_pct,pre_event_compression_score,guidance_positive_mentions,guidance_negative_mentions,revision_up_mentions,revision_down_mentions,guidance_revision_score,options_implied_move_pct,options_expiry,options_data_status,pre_earnings_intel_score,event_opportunity_score,pre_event_decision
LEN,EARNINGS,2026-09-16T00:00:00+00:00,-0.2,HIGH,ALPHA_VANTAGE,Lennar Corporation Class A Common Stock,246776053.0,1.3,2026-08-31,USD,post-market,80.07,REJECT,REJECT,20d volume expansion,14,55,89.83,RESISTANCE_BREAKOUT,84.44,95.46,1.05,6.27,WEAK,32.0,REJECT,8.0,37.5,62.5,-2.12,6.5,1.0,UNAVAILABLE,-3.27,-4.5,3.92,12.5,8.0,12.14,16.26,1.36,-0.37,15.0,0.0,0.0,0.0,0.0,0.0,,,NO_OPTIONS,37.0,24.1,LOW-PRIORITY
HUBG,EARNINGS,2026-09-17T00:00:00+00:00,0.8,HIGH,ALPHA_VANTAGE,"Hub Group, Inc. - Class A Common Stock",46240504.0,0.52,2026-06-30,USD,,33.45,REJECT,REJECT,20d volume expansion,14,40,41.39,RESISTANCE_BREAKOUT,39.99,44.7,2.36,24.72,WEAK,32.0,REJECT,,,,,,,UNAVAILABLE,,,,,,24.84,29.39,1.43,-7.24,0.0,0.0,0.0,0.0,0.0,0.0,,,NO_OPTIONS,42.5,24.9,LOW-PRIORITY
KBH,EARNINGS,2026-09-22T00:00:00+00:00,5.8,WATCH,ALPHA_VANTAGE,KB Home Common Stock,52672750.0,0.88,2026-08-31,USD,post-market,49.52,REJECT,REJECT,20d volume expansion,14,55,57.52,RESISTANCE_BREAKOUT,54.06,62.12,1.33,10.16,WEAK,32.0,REJECT,8.0,37.5,50.0,-0.72,0.0,0.0,UNAVAILABLE,0.79,-0.54,4.08,37.5,8.0,12.84,20.29,1.66,-1.35,15.0,0.0,0.0,0.0,0.0,0.0,,,NO_OPTIONS,40.5,23.0,LOW-PRIORITY
GIS,EARNINGS,2026-09-23T00:00:00+00:00,6.8,WATCH,ALPHA_VANTAGE,"General Mills, Inc. Common Stock",342585061.0,0.71,2026-08-31,USD,pre-market,36.58,REJECT,REJECT,"rising EMA50, near EMA50 support, near EMA200 pivot",38,40,42.3,RESISTANCE_BREAKOUT,40.22,44.07,0.85,4.19,WEAK,32.0,REJECT,8.0,87.5,12.5,5.07,15.85,1.0,UNAVAILABLE,-0.17,-1.41,3.32,37.5,8.0,18.02,18.02,1.02,-2.95,15.0,0.0,0.0,0.0,0.0,0.0,,,NO_OPTIONS,52.5,35.6,LOW-PRIORITY
PAYX,EARNINGS,2026-09-23T00:00:00+00:00,6.8,WATCH,ALPHA_VANTAGE,"Paychex, Inc. - Common Stock",278423896.0,1.33,2026-08-31,USD,pre-market,118.3,REJECT,REJECT,"above EMA50, rising EMA50, near EMA50 support, volume expanding",48,35,128.2,RESISTANCE_BREAKOUT,120.5,138.45,1.33,,WEAK,32.0,REJECT,,,,,,,UNAVAILABLE,,,,,,11.39,11.39,1.05,1.17,15.0,0.0,0.0,1.0,1.0,0.0,,,NO_OPTIONS,44.8,33.9,LOW-PRIORITY
UEC,EARNINGS,2026-09-23T00:00:00+00:00,6.8,WATCH,ALPHA_VANTAGE,Uranium Energy Corp. Common Stock,103658991.0,-0.04,2026-07-31,USD,,10.18,REJECT,REJECT,none,6,55,13.85,RESISTANCE_BREAKOUT,13.02,14.96,1.33,21.49,WEAK,32.0,REJECT,8.0,0.0,100.0,-300.0,-600.0,-8.0,UNAVAILABLE,-2.04,-1.08,5.26,25.0,8.0,24.56,39.69,0.94,-14.38,0.0,0.0,0.0,0.0,0.0,0.0,,,NO_OPTIONS,19.5,7.2,LOW-PRIORITY
