trader,legendary_setup,ticker,company_name,price,stage,theme,market_hunt_score,technical_score,formation_score,rs20_vs_spy,rsi14,atr_pct,adr20_pct,entry_trigger,entry_model,stop,effective_target,effective_rr,runway_to_next_resistance_pct,catalyst_status,catalyst_score,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,intraday_rvol,pattern,legendary_score,setup_match,setup_reason,rsi_state
William O'Neil,CAN SLIM-style Breakout,HESM,Hess Midstream LP Class A Representing Limited Partner Interests,39.97,FORMING,Energy,82.6,92,76,2.22,58.5,2.08,2.09,41.39,RESISTANCE_BREAKOUT,39.82,44.7,2.11,,HISTORICAL / CONTEXT,20,2.66,0,False,0.62,"20/50 uptrend, rising EMA50, near EMA50 support, compressed below 20d resistance, tight range, volume contraction",85.4,STRONG,Leadership + base/breakout quality + catalyst/fundamental proxy + relative strength,MOMENTUM SWEET SPOT
William O'Neil,CAN SLIM-style Breakout,GS,"Goldman Sachs Group, Inc. (The) Common Stock",1029.18,FORMING,UNCLASSIFIED,67.8,78,68,0.94,48.2,2.15,2.11,1060.11,RESISTANCE_BREAKOUT,1025.19,1144.91,2.43,8.33,ACTIVE,30,3.73,0,False,,"20/50 uptrend, near EMA50 support, compressed below 20d resistance, tight range, volume contraction, low-volume pullback",78.7,STRONG,Leadership + base/breakout quality + catalyst/fundamental proxy + relative strength,NEUTRAL / RESET
William O'Neil,CAN SLIM-style Breakout,GPC,Genuine Parts Company Common Stock,133.68,FORMING,UNCLASSIFIED,64.7,78,62,1.28,51.7,2.2,2.01,139.04,RESISTANCE_BREAKOUT,133.54,150.17,2.02,,HISTORICAL / CONTEXT,20,3.34,0,False,,"above EMA50, rising EMA50, compressed below 20d resistance, tight range, volume contraction, low-volume pullback",76.2,STRONG,Leadership + base/breakout quality + catalyst/fundamental proxy + relative strength,NEUTRAL / RESET
