event_id,ticker,observed_at_utc,source,age_hours,catalyst_bias,catalyst_score_bonus,catalyst_type,classification_reason,confidence,filing_date,form,ingested_at_utc,items,materiality,negative_veto,primary_document,provider,report_date,review_required,source_event_id,source_timestamp_utc,source_url
sec:d671104755294498c91017db,SMMT,2026-09-15T12:44:39+00:00,sec-edgar-submissions-relay,15.78,NEUTRAL,0,SEC_FILING,MATERIAL_FORM_8-K,MEDIUM,2026-09-15,8-K,2026-09-16T04:31:01.625713+00:00,"8.01,9.01",MEDIUM,False,smmt-20260915.htm,SEC_EDGAR_RELAY,2026-09-15,True,0001599298-26-000081,2026-09-15T12:44:39+00:00,https://www.sec.gov/Archives/edgar/data/1599298/000159929826000081/smmt-20260915.htm
sec:a0cabe25352f372dd06b1606,ASST,2026-09-14T20:55:37+00:00,sec-edgar-submissions-relay,31.6,NEUTRAL,0,SEC_FILING,MATERIAL_FORM_8-K,MEDIUM,2026-09-15,8-K,2026-09-16T04:31:01.625713+00:00,8.01,MEDIUM,False,asst-20260914.htm,SEC_EDGAR_RELAY,2026-09-14,True,0001628280-26-061949,2026-09-14T20:55:37+00:00,https://www.sec.gov/Archives/edgar/data/1920406/000162828026061949/asst-20260914.htm
sec:b2a24d6cb8e05dcb5f30a422,BMNR,2026-09-14T12:45:45+00:00,sec-edgar-submissions-relay,39.76,NEUTRAL,0,SEC_FILING,MATERIAL_FORM_8-K,MEDIUM,2026-09-14,8-K,2026-09-16T04:31:01.625713+00:00,"7.01,9.01",MEDIUM,False,form8-k.htm,SEC_EDGAR_RELAY,2026-09-14,True,0001493152-26-042492,2026-09-14T12:45:45+00:00,https://www.sec.gov/Archives/edgar/data/1829311/000149315226042492/form8-k.htm
sec:7a0c764f35684d793c44a518,SMMT,2026-09-14T12:37:42+00:00,sec-edgar-submissions-relay,39.89,NEUTRAL,0,SEC_FILING,MATERIAL_FORM_8-K,MEDIUM,2026-09-14,8-K,2026-09-16T04:31:01.625713+00:00,"8.01,9.01",MEDIUM,False,smmt-20260913.htm,SEC_EDGAR_RELAY,2026-09-13,True,0001599298-26-000078,2026-09-14T12:37:42+00:00,https://www.sec.gov/Archives/edgar/data/1599298/000159929826000078/smmt-20260913.htm
sec:3b1a5dfafdecda5512bfa037,MSTR,2026-09-14T12:00:16+00:00,sec-edgar-submissions-relay,40.52,NEUTRAL,0,SEC_FILING,MATERIAL_FORM_8-K,MEDIUM,2026-09-14,8-K,2026-09-16T04:31:01.625713+00:00,"7.01,8.01",MEDIUM,False,mstr-20260914.htm,SEC_EDGAR_RELAY,2026-09-14,True,0001193125-26-389858,2026-09-14T12:00:16+00:00,https://www.sec.gov/Archives/edgar/data/1050446/000119312526389858/mstr-20260914.htm
sec:1ab495cefcbd5029a7341a5d,ASST,2026-09-14T11:59:36+00:00,sec-edgar-submissions-relay,40.53,NEUTRAL,0,SEC_FILING,MATERIAL_FORM_8-K,MEDIUM,2026-09-14,8-K,2026-09-16T04:31:01.625713+00:00,8.01,MEDIUM,False,asst-20260914.htm,SEC_EDGAR_RELAY,2026-09-14,True,0001628280-26-061682,2026-09-14T11:59:36+00:00,https://www.sec.gov/Archives/edgar/data/1920406/000162828026061682/asst-20260914.htm
