trader,legendary_setup,ticker,company_name,price,stage,theme,market_hunt_score,technical_score,formation_score,rs20_vs_spy,rsi14,atr_pct,adr20_pct,entry_trigger,entry_model,stop,effective_target,effective_rr,runway_to_next_resistance_pct,catalyst_status,catalyst_score,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,intraday_rvol,pattern,legendary_score,setup_match,setup_reason,rsi_state
Nicolas Darvas,Darvas Box Breakout,GS,"Goldman Sachs Group, Inc. (The) Common Stock",1029.18,FORMING,UNCLASSIFIED,67.8,78,68,0.94,48.2,2.15,2.11,1060.11,RESISTANCE_BREAKOUT,1025.19,1144.91,2.43,8.33,ACTIVE,30,3.73,0,False,,"20/50 uptrend, near EMA50 support, compressed below 20d resistance, tight range, volume contraction, low-volume pullback",81.9,STRONG,Tight price box/range near resistance with breakout potential and defined downside,NEUTRAL / RESET
Nicolas Darvas,Darvas Box Breakout,NBIX,"Neurocrine Biosciences, Inc. - Common Stock",156.22,DISCOVER,UNCLASSIFIED,55.2,70,50,5.33,61.5,2.73,2.56,160.77,RESISTANCE_BREAKOUT,157.58,173.63,4.03,15.77,NOT CHECKED,0,2.25,0,False,,"near EMA50 support, compressed below 20d resistance, tight range, volume contraction, low-volume pullback",76.2,STRONG,Tight price box/range near resistance with breakout potential and defined downside,MOMENTUM SWEET SPOT
Nicolas Darvas,Darvas Box Breakout,CE,Celanese Corporation Common Stock,46.09,DISCOVER,UNCLASSIFIED,46.8,62,48,5.79,46.8,3.74,3.61,47.98,RESISTANCE_BREAKOUT,46.08,51.82,2.02,12.48,NOT CHECKED,0,5.73,0,False,,"near EMA50 support, compressed below 20d resistance, tight range, 20d volume expansion",73.5,WATCH,Tight price box/range near resistance with breakout potential and defined downside,NEUTRAL / RESET
Nicolas Darvas,Darvas Box Breakout,KR,Kroger Company (The) Common Stock,58.49,DISCOVER,UNCLASSIFIED,53.5,64,48,4.65,53.1,2.47,2.25,59.32,RESISTANCE_BREAKOUT,57.89,64.06,3.34,8.8,NOT CHECKED,0,2.81,0,False,,"near EMA50 support, compressed below 20d resistance, tight range, 20d volume expansion",73.3,WATCH,Tight price box/range near resistance with breakout potential and defined downside,NEUTRAL / RESET
Nicolas Darvas,Darvas Box Breakout,OPLN,"OPENLANE, Inc. Common Stock",35.28,DISCOVER,UNCLASSIFIED,50.7,66,50,1.69,64.3,2.46,2.63,36.1,RESISTANCE_BREAKOUT,35.22,38.99,3.29,18.84,NOT CHECKED,0,3.55,0,False,,"near EMA50 support, compressed below 20d resistance, tight range, volume contraction, low-volume pullback",72.5,WATCH,Tight price box/range near resistance with breakout potential and defined downside,MOMENTUM SWEET SPOT
Nicolas Darvas,Darvas Box Breakout,GNTX,Gentex Corporation - Common Stock,22.79,DISCOVER,UNCLASSIFIED,41.1,58,52,-2.09,38.6,2.28,2.06,24.19,RESISTANCE_BREAKOUT,23.37,26.13,2.34,8.91,NOT CHECKED,0,3.3,0,False,,"near EMA50 support, near EMA200 pivot, tight range, volume contraction, low-volume pullback",68.1,WATCH,Tight price box/range near resistance with breakout potential and defined downside,WEAK MOMENTUM
Nicolas Darvas,Darvas Box Breakout,CVS,CVS Health Corporation Common Stock,94.66,DISCOVER,UNCLASSIFIED,43.8,58,42,1.4,56.4,2.24,2.19,98.67,RESISTANCE_BREAKOUT,96.67,106.56,3.94,11.48,NOT CHECKED,0,3.93,0,False,,"near EMA50 support, tight range, volume contraction, low-volume pullback",67.1,WATCH,Tight price box/range near resistance with breakout potential and defined downside,MOMENTUM SWEET SPOT
Nicolas Darvas,Darvas Box Breakout,CCI,Crown Castle Inc. Common Stock,75.62,DISCOVER,UNCLASSIFIED,42.2,56,40,1.6,50.5,2.39,2.24,77.89,RESISTANCE_BREAKOUT,76.54,84.13,4.6,17.34,NOT CHECKED,0,2.49,0,False,,"near EMA50 support, compressed below 20d resistance, tight range",65.9,WATCH,Tight price box/range near resistance with breakout potential and defined downside,NEUTRAL / RESET
Nicolas Darvas,Darvas Box Breakout,STLA,Stellantis N.V. Common Shares,5.4,DISCOVER,UNCLASSIFIED,35.7,50,40,2.31,49.7,3.13,2.6,5.58,RESISTANCE_BREAKOUT,5.36,6.03,2.0,30.74,NOT CHECKED,0,7.52,0,False,,"compressed below 20d resistance, tight range, volume expanding",64.6,WATCH,Tight price box/range near resistance with breakout potential and defined downside,NEUTRAL / RESET
