as_of_session,v3_candidates,v45_candidates,v5_candidates,v6_candidates,v7_paper_candidates,overlap_candidates,top_k_agreement_pct,mature_candidates,model_version,model_status
2026-09-11,20,0,0,0,0,0,,0,untrained,INSUFFICIENT_DATA
2026-09-14,20,0,0,0,0,0,,0,untrained,INSUFFICIENT_DATA
