ticker,price,stage,technical_stage,pattern,formation_score,technical_score,risk_score,decision,market_regime_state,market_regime_score,market_regime_reason,rs20_vs_spy,rsi14,rvol,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,atr_pct,avg_dollar_volume,ema20,ema50,ema200,daily_support,daily_resistance,weekly_support,weekly_resistance,monthly_support,monthly_resistance,entry_trigger,entry_model,entry_condition,entry_buffer_pct,retest_reference,retest_distance_pct,retest_quality_score,retest_quality_reasons,ema20_slope5_pct,support_touch_count,higher_low,bullish_close,stop,stop_basis,stop_anchor,stop_anchor_distance_pct,risk_pct,swing5_low,swing10_low,target_5,target_8,target_10,rr_to_8pct,next_higher_resistance,runway_to_next_resistance_pct,runway_ok,min_runway_required_pct,effective_target,effective_target_pct,effective_rr,effective_rr_ok,min_effective_rr_required,distance_to_20d_high_pct,extension_above_20d_high_pct,avg_share_volume20,median_dollar_volume20,adr20_pct,liquidity_gate_passed,volatility_gate_passed,company_name,rank_score,theme,theme_etf,theme_score,theme_state,theme_bonus,theme_match_confidence,theme_match_source,theme_match_reason,sector_regime_ok,catalyst_score,catalyst_status,catalyst_type,catalyst_bias,catalyst_headline,catalyst_provider,catalyst_age_hours,catalyst_relevance,catalyst_fresh,news_freshness_status,catalyst_materiality,rejected_news_count,earnings_days,negative_catalyst_risk,final_score,final_decision,live_status,live_session_date,live_bar_at_et,live_bar_high,live_bar_low,live_price,session_high,session_low,live_vwap,live_above_vwap,opening_range_high,opening_range_low,live_above_or_high,intraday_rvol,volume_vs_9ma,opening_30m_rvol,opening_volume_spike_2x,quote_bid,quote_ask,bid_ask_spread_pct,spread_gate_passed,spread_gate_source,live_trigger_reached,live_retest_touched,live_confirmation_score,premarket_price,premarket_gap_pct,premarket_volume,premarket_status,live_trade_action,order_flow_mode,order_flow_score,order_flow_state,buy_pressure_pct,sell_pressure_pct,signed_volume_proxy,volume_imbalance_proxy,close_location_value,volume_impulse,vwap_pressure,market_hunt_score,universal_10pct_gate,v3_market_data_source,v3_market_data_refreshed_at_utc,v3_provider_coverage,v3_analyzable_coverage
MSTR,131.59,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, tight range, volume contraction",42,60,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,27.14,46.7,0.39,17.56,3,True,6.8,3477746277.0,126.44,119.1,151.57,108.35,144.92,81.81,144.92,81.81,197.0,145.64,RESISTANCE_BREAKOUT,BREAKOUT,0.49,,,0,,,0,False,False,136.9,ATR_FALLBACK,132.21,9.22,6.0,123.33,121.38,152.92,157.29,160.2,1.33,197.0,35.27,True,5.0,157.29,8.0,1.33,False,2.5,10.13,0.0,28565323.0,3094391834.0,6.39,True,True,Strategy Inc - Class A Common Stock,64.6,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,38,ACTIVE,FRESH NEWS,NEUTRAL,Strategy Is Buying Bitcoin Again. Here's What That Means for the Price of Bitcoin.,Motley Fool,2.2,COMPANY_NAME,True,FRESH_24H,LOW,5,43.0,False,72.2,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,72.2,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98
SMTC,180.43,EXTENDED,EXTENDED,"20/50 uptrend, rising EMA50, volume contraction, late/extended breakout",32,36,65,NO TRADE,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,44.84,67.0,0.78,11.16,3,True,6.42,503458556.0,150.1,141.59,117.04,115.0,170.52,103.1,175.69,69.16,177.35,180.43,CONFIRMED_MARKET,BREAKOUT,0.0,,,0,,,0,False,False,169.6,ATR_FALLBACK,163.06,9.63,6.0,146.91,126.73,189.45,194.86,198.47,1.33,,,False,5.0,194.86,8.0,1.33,False,2.5,-5.49,5.81,3422852.0,400948833.0,7.12,True,True,Semtech Corporation - Common Stock,76.4,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,38,ACTIVE,FRESH NEWS,NEUTRAL,Does Semtech (SMTC) Have the Potential to Rally 36.99% as Wall Street Analysts Expect?,Zacks,5.4,COMPANY_NAME,True,FRESH_24H,LOW,4,68.0,False,84.0,WATCHLIST,LIVE,2026-09-16,2026-09-16T15:20:00-04:00,166.8,166.8,166.8,170.52,153.1,166.15,True,161.86,153.1,True,1.97,0.0,0.94,False,,,,True,LIQUIDITY_PROXY,False,False,70,153.8,1.18,0.0,AVAILABLE,WAIT / LIVE CONFIRMATION,BAR_PROXY,47.4,BALANCED,51.7,48.3,397607.0,11.72,-0.191,0.35,0.39,91.0,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98
EL,94.12,DISCOVER,DISCOVER,"above EMA50, rising EMA50, near EMA50 support, volume contraction, low-volume pullback",42,48,20,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,-2.73,25.1,0.22,16.3,1,True,3.34,325049830.0,97.15,92.95,89.61,94.1,108.01,76.57,108.01,65.74,108.01,108.26,RESISTANCE_BREAKOUT,BREAKOUT,0.23,,,0,,,0,False,False,102.98,ATR_FALLBACK,103.55,4.36,4.88,94.45,94.45,113.68,116.93,119.09,1.64,,,False,5.0,116.93,8.0,1.64,False,2.5,14.76,0.0,3814916.0,322768333.0,3.26,True,True,"Estee Lauder Companies, Inc. (The) Common Stock",64.0,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,48,STRONG,NEWS,BULLISH,Can Estee Lauder's Profound Partnership Strengthen AI Visibility?,Zacks,3.7,COMPANY_NAME,True,FRESH_24H,MEDIUM,10,46.7,False,73.6,WATCHLIST + CATALYST,LIVE,2026-09-16,2026-09-16T15:20:00-04:00,95.12,95.12,95.12,96.69,94.99,96.07,False,96.49,95.07,False,0.84,0.0,1.06,False,,,,True,LIQUIDITY_PROXY,False,False,0,96.18,-0.07,0.0,AVAILABLE,WATCH / NOT ARMED,BAR_PROXY,45.7,BALANCED,43.9,56.1,-11265.0,-1.11,-0.097,0.9,-0.99,73.6,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98
ARE,55.95,REJECT,REJECT,"20/50 uptrend, rising EMA50",26,50,35,NO TRADE,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,11.59,65.3,0.54,10.27,1,True,3.15,94901539.0,52.01,51.09,52.95,49.23,54.71,45.78,55.74,38.9,55.74,55.95,RESISTANCE_BREAKOUT,BREAKOUT,2.27,,,0,,,0,False,False,52.99,ATR_FALLBACK,53.31,4.72,5.28,49.23,49.23,58.75,60.43,61.55,1.51,,,False,5.0,60.43,8.0,1.51,False,2.5,-2.22,2.27,1856817.0,87378670.0,3.57,True,True,"Alexandria Real Estate Equities, Inc. Common Stock",69.0,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,22,WEAK,CONTEXT NEWS,NEUTRAL,"Alexandria Real Estate Chief Accounting Officer Sells 10,000 Shares",Motley Fool,161.5,COMPANY_NAME,False,CONTEXT_7D,LOW,1,40.0,False,73.4,WATCHLIST,LIVE,2026-09-16,2026-09-16T15:20:00-04:00,52.4,52.4,52.4,53.52,52.17,52.74,False,53.52,52.71,False,1.01,0.0,1.06,False,,,,False,NONE,False,False,0,52.3,-1.19,0.0,AVAILABLE,WAIT / ACTIVE CATALYST REQUIRED,BAR_PROXY,44.5,BALANCED,42.2,57.8,-88879.0,-10.02,-0.323,1.4,-0.65,73.4,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98
NVAX,10.03,REJECT,REJECT,"20/50 uptrend, rising EMA50, volume contraction",32,56,35,NO TRADE,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,15.03,63.0,0.91,10.84,1,True,6.51,52285678.0,9.41,9.02,8.75,8.02,10.75,7.15,10.75,7.15,11.61,10.8,RESISTANCE_BREAKOUT,BREAKOUT,0.49,,,0,,,0,False,False,10.15,ATR_FALLBACK,9.82,9.07,6.0,9.11,9.11,11.34,11.67,11.88,1.33,11.61,7.48,True,5.0,11.61,7.48,1.25,False,2.5,7.16,0.0,5753390.0,51340618.0,6.27,True,True,"Novavax, Inc. - Common Stock",63.0,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,48,STRONG,NEWS,BULLISH,Do Novavax’s (NVAX) New Partnerships Offset Policy Risks From The Protecting Approved Care Act?,Simply Wall St.,14.1,COMPANY_NAME,True,FRESH_24H,MEDIUM,3,49.7,False,72.6,WATCHLIST + CATALYST,LIVE,2026-09-16,2026-09-16T15:20:00-04:00,9.19,9.19,9.19,9.41,9.16,9.32,False,9.38,9.26,False,0.61,0.0,0.32,False,,,,False,NONE,False,False,0,9.31,0.87,0.0,AVAILABLE,WAIT / QUOTE SPREAD UNAVAILABLE,BAR_PROXY,33.9,SELLING PRESSURE,40.5,59.5,-195996.0,-11.25,-0.403,0.42,-1.34,72.6,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98
ZETA,30.48,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, tight range, volume contraction, low-volume pullback",46,66,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,6.78,51.5,0.28,7.36,0,False,4.57,193029456.0,29.96,27.22,22.17,27.11,32.81,17.77,32.81,14.36,31.05,32.92,RESISTANCE_BREAKOUT,BREAKOUT,0.34,,,0,,,0,False,False,30.95,ATR_FALLBACK,30.83,6.35,6.0,29.68,29.68,34.57,35.56,36.21,1.33,,,False,5.0,35.56,8.0,1.33,False,2.5,7.64,0.0,6358359.0,159387817.0,4.45,True,True,Zeta Global Holdings Corp. Class A Common Stock,66.5,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,30,ACTIVE,FRESH NEWS,NEUTRAL,"Zeta Global (ZETA): Buy, Sell, or Hold Post Q2 Earnings?",StockStory,53.3,COMPANY_NAME,True,FRESH_72H,LOW,5,48.0,False,72.5,WATCHLIST,LIVE,2026-09-16,2026-09-16T15:20:00-04:00,30.49,30.49,30.49,31.44,30.44,31.07,False,31.21,30.44,False,0.93,0.0,0.66,False,,,,True,LIQUIDITY_PROXY,False,False,0,30.92,-0.19,0.0,AVAILABLE,WAIT / LIVE CONFIRMATION,BAR_PROXY,49.4,BALANCED,51.1,48.9,178379.0,7.67,-0.222,1.39,-1.85,72.5,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98
HALO,110.14,FORMING,FORMING,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range, volume contraction",58,74,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,3.26,59.3,0.64,20.24,1,True,2.5,152857623.0,106.2,97.53,80.84,103.47,111.15,68.27,111.15,61.33,109.66,111.37,RESISTANCE_BREAKOUT,BREAKOUT,0.2,,,0,,,0,False,False,105.7,EMA20,106.2,4.64,5.09,105.5,105.48,116.94,120.28,122.51,1.57,,,False,5.0,120.28,8.0,1.57,False,2.5,0.91,0.0,1462812.0,162047552.0,2.29,True,True,"Halozyme Therapeutics, Inc. - Common Stock",63.0,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,38,ACTIVE,FRESH NEWS,NEUTRAL,3 Reasons Why Growth Investors Shouldn't Overlook Halozyme Therapeutics (HALO),Zacks,2.6,COMPANY_NAME,True,FRESH_24H,LOW,4,47.0,False,70.6,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,70.6,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98
SIG,101.87,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance",42,60,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,20.42,74.1,0.25,23.96,1,True,4.72,98947118.0,93.01,90.25,89.46,79.01,104.75,79.01,103.49,71.34,100.41,105.13,RESISTANCE_BREAKOUT,BREAKOUT,0.37,,,0,,,0,False,False,98.83,ATR_FALLBACK,97.92,6.87,6.0,95.33,80.0,110.39,113.55,115.65,1.33,,,False,5.0,113.55,8.0,1.33,False,2.5,2.83,0.0,1077003.0,68891872.0,4.07,True,True,Signet Jewelers Limited Common Shares,64.1,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,30,ACTIVE,FRESH NEWS,NEUTRAL,Are Retail-Wholesale Stocks Lagging  Signet Jewelers (SIG) This Year?,Zacks,29.7,COMPANY_NAME,True,FRESH_72H,LOW,5,75.7,False,70.1,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,70.1,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98
SG,6.86,DISCOVER,DISCOVER,"above EMA50, rising EMA50, near EMA50 support, near EMA200 pivot, tight range",52,72,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,7.84,51.3,0.34,10.31,1,True,6.39,31174381.0,6.76,6.82,7.07,6.38,7.4,5.0,9.49,4.49,10.63,7.44,RESISTANCE_BREAKOUT,BREAKOUT,0.47,,,0,,,0,False,False,6.99,ATR_FALLBACK,6.78,8.85,6.0,6.58,6.38,7.81,8.03,8.18,1.33,9.49,27.64,True,5.0,8.03,8.0,1.33,False,2.5,7.79,0.0,4783275.0,31101939.0,5.93,True,True,"Sweetgreen, Inc. Class A Common Stock",59.7,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,30,ACTIVE,FRESH NEWS,NEUTRAL,"Sweetgreen, Inc. (SG) Gains As Market Dips: What You Should Know",Zacks,45.3,COMPANY_NAME,True,FRESH_72H,LOW,8,50.0,False,65.7,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,65.7,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98
SMMT,17.62,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, volume contraction",40,64,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,35.31,69.0,0.46,17.33,1,True,5.65,96052384.0,16.14,15.29,16.24,12.22,18.83,12.07,18.32,12.07,29.23,18.91,RESISTANCE_BREAKOUT,BREAKOUT,0.42,,,0,,,0,False,False,17.78,ATR_FALLBACK,17.42,7.9,6.0,16.8,14.06,19.86,20.42,20.8,1.33,29.23,54.58,True,5.0,20.42,8.0,1.33,False,2.5,6.87,0.0,6156529.0,78339350.0,5.55,True,True,Summit Therapeutics Inc.  - Common Stock,62.8,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,38,ACTIVE,FRESH NEWS,NEUTRAL,Is Summit Therapeutics (SMMT) Below Fair Value On New Ivonescimab Survival Data?,Simply Wall St.,11.2,COMPANY_NAME,True,FRESH_24H,LOW,3,33.0,False,70.4,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,70.4,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98
DK,81.83,REJECT,REJECT,"20/50 uptrend, rising EMA50",26,44,35,NO TRADE,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,24.28,74.9,0.32,11.6,1,True,5.28,139978137.0,73.67,67.12,50.85,63.13,80.15,40.74,78.43,36.68,75.24,81.83,RESISTANCE_BREAKOUT,BREAKOUT,2.1,,,0,,,0,False,False,76.92,ATR_FALLBACK,75.34,7.93,6.0,73.38,69.14,85.92,88.38,90.01,1.33,,,False,5.0,88.38,8.0,1.33,False,2.5,-2.05,2.1,1870579.0,129604752.0,5.85,True,True,"Delek US Holdings, Inc. Common Stock",63.1,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,22,WEAK,CONTEXT NEWS,NEUTRAL,Delek's Margin Capture Improves Sharply: Is This More Than a Cycle?,Zacks,148.8,COMPANY_NAME,False,CONTEXT_7D,LOW,10,50.7,False,67.5,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,67.5,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98
