ticker,candidate_source,theme,signal,reason,price,day_change_pct,move_30m_pct,rel_vs_spy_pct,theme_rotation_score,broad_breakout_score,intraday_rvol,vwap,opening_range_high,above_vwap,above_or_high,entry,stop,risk_pct,target_5pct,target_8pct,order_flow_score,buy_pressure_pct,sell_pressure_pct,volume_imbalance_proxy,volume_impulse,vwap_pressure,order_flow_state,order_flow_mode,last_bar_et
CIFR,THEME_ROTATION,Crypto & Digital Infrastructure,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,18.8,2.45,0.64,1.05,100.0,0.0,0.71,18.66,19.11,True,False,18.8,18.6,1.03,19.73,20.3,46.7,42.0,58.0,-7.6,0.55,0.72,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
INTC,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,121.67,12.01,-0.21,10.61,96.7,0.0,1.64,120.53,119.53,True,True,121.67,120.17,1.25,127.75,131.4,49.2,51.4,48.6,1.99,0.95,0.95,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
AMD,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,607.46,8.51,-0.21,7.11,96.7,0.0,1.98,604.67,608.23,True,False,607.46,602.86,0.76,637.83,656.06,52.1,57.6,42.4,11.0,0.65,0.46,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
QCOM,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,192.15,7.94,-0.14,6.54,96.7,0.0,1.27,187.48,183.39,True,True,192.15,186.92,2.8,201.76,207.52,56.3,75.8,24.2,30.3,0.57,2.49,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
LRCX,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,301.17,4.65,0.07,3.25,96.7,0.0,1.11,296.17,295.17,True,True,301.17,295.28,1.99,316.23,325.26,62.1,50.1,49.9,15.07,1.39,1.69,BUYING PRESSURE,BAR_PROXY,2026-09-21T13:35:00-04:00
MRVL,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,254.65,4.31,0.17,2.91,96.7,0.0,1.07,251.32,252.5,True,True,254.65,250.57,1.63,267.38,275.02,50.2,43.6,56.4,-3.67,0.84,1.32,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
KLAC,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,183.5,3.69,-0.06,2.29,96.7,0.0,0.91,181.65,182.66,True,True,183.5,181.11,1.32,192.68,198.18,56.2,62.1,37.9,13.39,1.21,1.02,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
MU,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,1039.82,2.41,0.09,1.01,96.7,0.0,1.25,1043.82,1064.49,False,False,1039.82,1035.89,0.38,1091.81,1123.01,48.2,49.7,50.3,3.57,0.67,-0.38,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
NVDA,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,226.95,2.19,-0.06,0.79,96.7,0.0,1.04,224.57,224.93,True,True,226.95,223.9,1.36,238.3,245.11,60.2,70.5,29.5,18.94,1.06,1.06,BUYING PRESSURE,BAR_PROXY,2026-09-21T13:35:00-04:00
RBRK,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,112.71,5.69,0.37,4.29,88.2,0.0,1.03,111.25,112.5,True,True,112.71,110.92,1.61,118.34,121.72,69.3,67.6,32.4,22.56,1.6,1.3,BUYING PRESSURE,BAR_PROXY,2026-09-21T13:35:00-04:00
CRWD,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,248.28,4.49,0.56,3.09,88.2,0.0,1.05,241.35,246.93,True,True,248.28,240.63,3.18,260.69,268.14,75.0,81.9,18.1,45.02,1.12,2.87,STRONG BUYING PRESSURE,BAR_PROXY,2026-09-21T13:35:00-04:00
S,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,23.53,4.44,-0.11,3.04,88.2,0.0,0.68,23.43,23.42,True,True,23.53,23.36,0.71,24.71,25.41,57.6,68.0,32.0,16.69,1.05,0.41,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
OKTA,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,189.19,3.85,0.08,2.45,88.2,0.0,1.03,188.54,190.41,True,False,189.19,187.98,0.64,198.65,204.33,56.4,60.0,40.0,22.73,0.45,0.34,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
ZS,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,204.65,3.73,0.24,2.33,88.2,0.0,0.79,203.36,204.59,True,True,204.65,202.75,0.94,214.88,221.02,60.4,56.6,43.4,16.0,0.83,0.63,BUYING PRESSURE,BAR_PROXY,2026-09-21T13:35:00-04:00
