ticker,candidate_source,theme,signal,reason,price,day_change_pct,move_30m_pct,rel_vs_spy_pct,theme_rotation_score,broad_breakout_score,intraday_rvol,vwap,opening_range_high,above_vwap,above_or_high,entry,stop,risk_pct,target_5pct,target_8pct,order_flow_score,buy_pressure_pct,sell_pressure_pct,volume_imbalance_proxy,volume_impulse,vwap_pressure,order_flow_state,order_flow_mode,last_bar_et,order_flow_strategy_score,order_flow_strategy_signal,order_flow_setup,order_flow_strategy_reason,strategy_entry,strategy_stop,strategy_target_1,strategy_target_2,strategy_risk_pct,strategy_rr_to_t2
ALAB,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,EXTENDED / WAIT RETEST,STRONG ROTATION BUT MOVE ALREADY >8%,338.33,11.38,0.7,9.82,0.0,100.0,1.36,326.3,327.04,True,True,338.33,325.32,4.0,355.25,365.4,74.3,73.5,26.5,34.17,0.98,3.69,STRONG BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,69.1,NO TRADE,NONE,Order-flow conditions incomplete,338.33,325.32,355.25,365.4,4.0,2.08
CLSK,THEME_ROTATION,Crypto & Digital Infrastructure,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,15.15,4.66,1.13,3.1,87.5,0.0,1.02,14.95,15.15,True,True,15.15,14.91,1.65,15.91,16.37,74.9,75.4,24.6,20.14,2.73,1.35,STRONG BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,67.9,NO TRADE,NONE,Order-flow conditions incomplete,15.15,14.91,15.91,16.36,1.61,5.05
CRWD,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,248.76,4.69,0.26,3.13,95.5,0.0,1.02,241.83,246.93,True,True,248.76,241.1,3.18,261.2,268.66,76.4,81.4,18.6,44.05,1.22,2.87,STRONG BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,66.0,NO TRADE,NONE,Order-flow conditions incomplete,248.76,241.1,261.2,268.66,3.18,2.6
HUT,THEME_ROTATION,Crypto & Digital Infrastructure,EXTENDED / WAIT RETEST,STRONG ROTATION BUT MOVE ALREADY >8%,107.75,9.08,1.48,7.52,87.5,0.0,1.26,104.03,105.37,True,True,107.75,103.71,3.89,113.14,116.37,68.4,54.0,46.0,7.43,1.0,3.58,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,64.5,NO TRADE,NONE,Order-flow conditions incomplete,107.75,103.71,113.14,116.37,3.9,2.13
AMD,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,609.42,8.86,-0.04,7.3,100.0,0.0,1.9,604.9,608.23,True,True,609.42,603.09,1.05,639.89,658.17,58.0,57.5,42.5,11.41,0.87,0.75,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,64.4,NO TRADE,NONE,Order-flow conditions incomplete,609.42,603.09,639.89,658.17,1.05,7.7
MRNA,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,EXTENDED / WAIT RETEST,STRONG ROTATION BUT MOVE ALREADY >8%,175.79,14.14,0.18,12.58,0.0,100.0,1.66,168.71,168.76,True,True,175.79,168.21,4.51,184.57,189.85,63.9,60.6,39.4,18.14,0.61,4.19,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,63.4,NO TRADE,NONE,Order-flow conditions incomplete,175.79,168.21,184.58,189.85,4.51,1.86
INTC,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,121.47,11.83,-0.28,10.27,100.0,0.0,1.58,120.6,119.53,True,True,121.47,120.24,1.03,127.54,131.19,50.6,51.0,49.0,1.26,0.74,0.72,BALANCED,BAR_PROXY,2026-09-21T14:25:00-04:00,62.9,NO TRADE,NONE,Order-flow conditions incomplete,121.47,120.24,127.54,131.19,1.02,7.9
BTBT,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,EXTENDED / WAIT RETEST,STRONG ROTATION BUT MOVE ALREADY >8%,1.88,8.7,1.36,7.13,0.0,93.3,1.95,1.83,1.83,True,True,1.88,1.83,2.61,1.97,2.03,62.0,52.3,47.7,2.89,1.84,2.3,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,61.5,NO TRADE,NONE,Order-flow conditions incomplete,1.88,1.83,1.97,2.03,2.73,3.01
CIFR,THEME_ROTATION,Crypto & Digital Infrastructure,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,19.09,4.09,1.84,2.53,87.5,0.0,0.75,18.7,19.11,True,False,19.09,18.64,2.43,20.05,20.62,70.8,49.4,50.6,1.66,3.12,2.12,STRONG BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,61.1,NO TRADE,NONE,Order-flow conditions incomplete,19.09,18.64,20.04,20.62,2.41,3.39
ON,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,71.69,2.43,0.77,0.87,100.0,0.0,0.72,70.31,71.0,True,True,71.69,70.1,2.26,75.27,77.43,72.5,58.4,41.6,10.5,2.25,1.96,STRONG BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,59.8,NO TRADE,NONE,Order-flow conditions incomplete,71.69,70.1,75.27,77.43,2.27,3.61
