ticker,price,stage,technical_stage,pattern,formation_score,technical_score,risk_score,decision,market_regime_state,market_regime_score,market_regime_reason,rs20_vs_spy,rsi14,rvol,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,atr_pct,avg_dollar_volume,ema20,ema50,ema200,daily_support,daily_resistance,weekly_support,weekly_resistance,monthly_support,monthly_resistance,entry_trigger,entry_model,entry_condition,entry_buffer_pct,retest_reference,retest_distance_pct,retest_quality_score,retest_quality_reasons,ema20_slope5_pct,support_touch_count,higher_low,bullish_close,stop,stop_basis,stop_anchor,stop_anchor_distance_pct,risk_pct,swing5_low,swing10_low,target_5,target_8,target_10,rr_to_8pct,next_higher_resistance,runway_to_next_resistance_pct,runway_ok,min_runway_required_pct,effective_target,effective_target_pct,effective_rr,effective_rr_ok,min_effective_rr_required,distance_to_20d_high_pct,extension_above_20d_high_pct,avg_share_volume20,median_dollar_volume20,adr20_pct,liquidity_gate_passed,volatility_gate_passed,company_name,rank_score,theme,theme_etf,theme_score,theme_state,theme_bonus,theme_match_confidence,theme_match_source,theme_match_reason,sector_regime_ok,catalyst_score,catalyst_status,catalyst_type,catalyst_bias,catalyst_headline,catalyst_provider,catalyst_age_hours,catalyst_relevance,catalyst_fresh,news_freshness_status,catalyst_materiality,rejected_news_count,earnings_days,negative_catalyst_risk,final_score,final_decision,live_status,live_session_date,live_bar_at_et,live_bar_high,live_bar_low,live_price,session_high,session_low,live_vwap,live_above_vwap,opening_range_high,opening_range_low,live_above_or_high,intraday_rvol,volume_vs_9ma,opening_30m_rvol,opening_volume_spike_2x,quote_bid,quote_ask,bid_ask_spread_pct,spread_gate_passed,spread_gate_source,live_trigger_reached,live_retest_touched,live_confirmation_score,premarket_price,premarket_gap_pct,premarket_volume,premarket_status,live_trade_action,order_flow_mode,order_flow_score,order_flow_state,buy_pressure_pct,sell_pressure_pct,signed_volume_proxy,volume_imbalance_proxy,close_location_value,volume_impulse,vwap_pressure,market_hunt_score,universal_10pct_gate
MARA,11.69,DISCOVER,DISCOVER,"rising EMA50, near EMA50 support, near EMA200 pivot, tight range",50,68,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,21.93,48.6,1.05,15.54,2,True,6.91,571294601.0,11.25,11.37,12.1,9.96,12.47,8.68,16.43,7.63,16.43,12.53,RESISTANCE_BREAKOUT,BREAKOUT,0.52,,,0,,,0,False,False,11.78,ATR_FALLBACK,11.32,9.66,6.0,10.77,9.99,13.16,13.54,13.79,1.33,16.43,31.08,True,5.0,13.54,8.0,1.33,False,2.5,6.72,0.0,50258218.0,547272632.0,7.56,True,True,"MARA Holdings, Inc. - Common Stock",59.0,Crypto & Digital Infrastructure,WGMI,60.5,STRONG,1.26,1.0,STATIC_CONSTITUENT,verified theme membership,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,60.3,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,60.3,True
HTFL,50.19,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range",52,76,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,11.08,56.6,0.38,35.7,1,True,4.87,90609366.0,46.67,40.55,33.1,45.41,51.78,23.87,51.78,20.41,51.19,51.97,RESISTANCE_BREAKOUT,BREAKOUT,0.38,,,0,,,0,False,False,48.86,ATR_FALLBACK,48.31,7.05,6.0,45.41,45.41,54.57,56.13,57.17,1.33,,,False,5.0,56.13,8.0,1.33,False,2.5,3.16,0.0,1855239.0,87423832.0,4.88,True,True,"Heartflow, Inc. - Common Stock",60.1,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,60.1,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,60.1,True
TWLO,242.73,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range",52,76,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,10.24,50.9,0.42,24.89,1,True,4.07,368975814.0,231.96,221.55,178.51,215.79,244.89,179.2,258.35,112.99,258.35,245.68,RESISTANCE_BREAKOUT,BREAKOUT,0.32,,,0,,,0,False,False,230.94,EMA20,231.96,5.59,6.0,222.63,221.86,257.96,265.34,270.25,1.33,258.35,5.16,True,5.0,258.35,5.16,0.86,False,2.5,0.89,0.0,1590603.0,344751380.0,3.9,True,True,Twilio Inc. Class A Common Stock,59.7,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,59.7,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,59.7,True
BMNR,24.32,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, near EMA200 pivot, bull flag/pullback",50,68,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,20.98,46.2,0.62,14.7,2,True,7.68,1136341688.0,23.47,21.28,24.95,20.62,26.97,12.8,26.97,12.8,26.91,27.12,RESISTANCE_BREAKOUT,BREAKOUT,0.55,,,0,,,0,False,False,25.49,ATR_FALLBACK,24.32,10.33,6.0,22.16,22.16,28.48,29.29,29.83,1.33,,,False,5.0,29.29,8.0,1.33,False,2.5,10.92,0.0,46763835.0,1154668741.0,6.48,True,True,"BitMine Immersion Technologies, Inc. Common Stock",59.0,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,59.0,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,59.0,True
ANF,139.38,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",50,68,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,33.02,44.4,0.12,35.67,1,True,4.33,351958645.0,135.61,120.65,100.23,102.3,155.22,83.98,155.22,69.68,154.58,155.7,RESISTANCE_BREAKOUT,BREAKOUT,0.31,,,0,,,0,False,False,146.36,ATR_FALLBACK,146.66,5.81,6.0,134.7,134.7,163.49,168.16,171.27,1.33,,,False,5.0,168.16,8.0,1.33,False,2.5,11.36,0.0,2484339.0,220709229.0,4.78,True,True,Abercrombie & Fitch Company Common Stock,59.0,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,59.0,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,59.0,True
SMCI,40.58,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance, 20d volume expansion",50,74,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,11.79,55.1,1.35,19.02,2,True,5.78,1416079722.0,37.37,35.14,34.19,34.09,41.53,23.38,42.31,19.48,51.4,41.72,RESISTANCE_BREAKOUT,BREAKOUT,0.45,,,0,,,0,False,False,39.21,ATR_FALLBACK,38.2,8.43,6.0,35.36,35.36,43.8,45.05,45.89,1.33,42.31,1.42,False,5.0,42.31,1.42,0.24,False,2.5,2.33,0.0,37317208.0,1331204712.0,5.55,True,True,"Super Micro Computer, Inc. - Common Stock",58.7,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,58.7,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,58.7,True
BTDR,11.49,DISCOVER,DISCOVER,"rising EMA50, near EMA50 support, bull flag/pullback, volume contraction, low-volume pullback",46,70,55,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,20.21,51.1,0.49,10.89,1,True,7.42,129000206.0,11.27,11.59,12.86,10.07,12.95,8.44,19.32,6.92,20.72,13.02,RESISTANCE_BREAKOUT,BREAKOUT,0.53,,,0,,,0,False,False,12.24,ATR_FALLBACK,11.74,9.83,6.0,10.7,10.14,13.67,14.06,14.32,1.33,19.32,48.41,True,5.0,14.06,8.0,1.33,False,2.5,12.66,0.0,11459998.0,119845350.0,7.27,True,True,Bitdeer Technologies Group - Ordinary Shares,56.4,Crypto & Digital Infrastructure,WGMI,60.5,STRONG,1.26,1.0,STATIC_CONSTITUENT,verified theme membership,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,57.7,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,57.7,True
TEAM,192.8,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance, volume contraction",48,72,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,11.5,55.5,0.41,35.31,2,True,4.81,642540780.0,178.81,152.14,123.95,160.96,198.6,74.41,198.6,56.01,197.3,199.34,RESISTANCE_BREAKOUT,BREAKOUT,0.37,,,0,,,0,False,False,187.38,ATR_FALLBACK,185.43,6.98,6.0,174.46,174.21,209.31,215.29,219.28,1.33,,,False,5.0,215.29,8.0,1.33,False,2.5,3.01,0.0,3511081.0,639145873.0,4.64,True,True,Atlassian Corporation  - Class A Common Stock,56.9,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,56.9,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,56.9,True
BE,278.24,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance",42,66,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,35.5,69.1,0.82,12.29,1,True,6.26,3137364604.0,246.87,238.19,203.85,185.93,283.83,157.33,351.28,116.5,351.28,285.22,RESISTANCE_BREAKOUT,BREAKOUT,0.49,,,0,,,0,False,False,268.11,ATR_FALLBACK,259.1,9.16,6.0,249.05,204.3,299.48,308.04,313.75,1.33,351.28,23.16,True,5.0,308.04,8.0,1.33,False,2.5,2.01,0.0,13025687.0,2970139588.0,6.18,True,True,Bloom Energy Corporation Class A Common Stock,56.0,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,56.0,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,56.0,True
NTSK,17.51,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance",42,66,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,19.99,65.9,0.63,15.65,2,True,6.36,94255232.0,15.38,14.18,14.04,13.14,17.9,8.69,16.58,7.66,16.58,17.99,RESISTANCE_BREAKOUT,BREAKOUT,0.5,,,0,,,0,False,False,16.91,ATR_FALLBACK,16.32,9.29,6.0,14.2,13.26,18.89,19.43,19.79,1.33,,,False,5.0,19.43,8.0,1.33,False,2.5,2.2,0.0,6179591.0,81867959.0,6.61,True,True,"Netskope, Inc. - Class A Common Stock",56.0,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,56.0,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,BAR_PROXY,0.0,NO DATA,,,,,,,,56.0,True
